text,label
"URGENT! Verify your account password immediately",1
"Your account will be suspended. Click here to verify",1
"Congratulations! You won a free prize, click now",1
"Please confirm your bank account information",1
"Your password has expired. Login to update it",1
"Security alert! Verify your identity immediately",1
"Click this link to claim your reward",1
"Your account requires urgent verification",1
"Please send me the project report",0
"Meeting is scheduled for tomorrow at 10 AM",0
"Please find today's report attached",0
"Your class assignment is due on Monday",0
"Thank you for sending the document",0
"Can we meet tomorrow to discuss the project",0
"The university has announced the exam schedule",0
"Please review the attached presentation",0
"Your account has been locked. Verify your identity now",1
"Click here immediately to secure your account",1
"Urgent security notice! Confirm your login details",1
"You have won a cash reward. Claim it now",1
"Your payment failed. Update your banking information",1
"Verify your email address to avoid account suspension",1
"Your account needs immediate verification",1
"Congratulations! Click the link to receive your prize",1
"Reset your password now using the attached link",1
"Important! Your account will be deleted unless verified",1
"Please confirm your credit card details immediately",1
"Security warning! Login now to protect your account",1
"Your package is waiting. Click here to confirm delivery",1
"Unusual activity detected. Verify your account now",1
"Your subscription has expired. Update your payment details",1
"Act now! Your account access will be restricted",1
"Free gift available! Click here to claim your reward",1
"Your invoice is overdue. Open the link to make payment",1
"Please attend the cybersecurity lecture at 11 AM",0
"The project meeting has been moved to Friday",0
"Your assignment feedback is now available",0
"Please submit the final report before Friday",0
"The department meeting starts at 2 PM",0
"Thank you for completing the survey",0
"Your presentation has been scheduled for next week",0
"Please check the university notice board",0
"The laboratory will remain closed on Sunday",0
"Can you send me the notes from today's class",0
"The examination timetable has been uploaded",0
"Please review the project requirements",0
"I have attached the meeting minutes for your review",0
"Your internship meeting is scheduled for Monday",0
"Please confirm your attendance for the workshop",0
"The class has been cancelled for tomorrow",0
